Scenario,Pollutant,Horizon,MAE,Crisis_MAE,RMSE,R2
No Rain (Washout),NO2,66,3.372255,7.4880033,4.820244,0.37074864
No Rain (Washout),PM10,66,9.610253,17.259926,27.886341,0.16823977
No Rain (Washout),PM2.5,66,2.6189942,10.520341,5.228913,0.23252726
No Rain (Washout),O3,72,7.0442915,8.387086,9.30204,0.40059972
No Rain (Washout),SO2,72,0.3425519,5.687017,0.5632614,0.24210298
No Rain (Washout),CO,72,0.10356873,0.27948064,0.13702083,0.27667117
No Rain (Washout),NO2,72,3.338704,9.012209,4.833639,0.3661322
No Rain (Washout),PM10,72,9.664429,17.640978,28.30787,0.14357972
No Rain (Washout),PM2.5,72,2.6087263,11.54682,5.2606044,0.22267753
No Traffic,O3,6,7.022216,8.882027,8.807387,0.4044937
No Traffic,SO2,6,0.33479813,5.6336718,0.56220293,0.27911592
No Traffic,CO,6,0.101342715,0.25190675,0.134183,0.34583282
No Traffic,NO2,6,3.2720854,8.078813,4.719511,0.4118818
No Traffic,PM10,6,9.284047,17.481773,27.570845,0.19212866
No Traffic,PM2.5,6,2.5035355,9.856741,5.0581346,0.31027097
No Traffic,O3,12,7.162041,7.7219415,9.056796,0.37881196
No Traffic,SO2,12,0.33785114,5.5595512,0.5622984,0.27758908
No Traffic,CO,12,0.10244768,0.23661833,0.13536134,0.33430266
No Traffic,NO2,12,3.4611316,6.954074,5.015535,0.33411318
No Traffic,PM10,12,9.238828,16.902937,26.980024,0.22626102
No Traffic,PM2.5,12,2.5204496,9.768007,5.07254,0.30961227
No Traffic,O3,18,7.011826,6.345299,8.943515,0.40023303
